NOMBRE_PROYECTO,FORMA_PRESENTACION,ESTADO_EVALUACION,REGION,COMUNAS,FECHA_PRESENTACION,FECHA_CALIFICACION,FECHA_MODIFICACION,ID_EXPEDIENTE,INVERSION_US,LETRA_TIPOLOGIA,NOMBRE_TIPOLOGIA,TITULAR,lat,lng
Gasoducto Gasandes Extensión a Quinta Región,EIA,Aprobado,Interregional,Curacaví-Lampa-Limache-Maipú-Pudahuel-Quillota-Quilpué-San Bernardo,18 sep 1995,30 ene 1996,17 dic 2012,89,$284.000.000,j,j-Gasoductos,Gasoducto GasAndes S.A.,-70.716588,-33.55521
Poliducto J.L.C.,DIA,Aprobado,RM,Maipú,23 sep 1997,4 dic 1997,24 Feb. 2015,117,$170.00,j,j-Oleoductos,José Luis Honorato,-70.75266,-33.527689
Estación de Servicios ESSO Avenida Pajaritos,DIA,Aprobado,RM,Maipú,14 sep 1997,22 dic 1997,24 Feb. 2015,309,$2.600.000,e,e-Estaciones de servicios,ESSO Chile Petrolera Ltda.,-70.72278,-33.462971
Planta Tratamiento Residuos Industriales Bravo Energy S.A.,EIA,Aprobado,RM,Maipú,26 nov 1995,16 oct 1996,14 dic 2012,1039,$250.00,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",Bravo Energy Chile S.A.,-70.751459,-33.531996
Estación de Compresión Los Ratones,EIA,Aprobado,RM,Maipú,27 Ago. 1998,11 Ago. 1999,19 dic 2012,1448,$20.000.000,j,j-Gasoductos,Electrogas S.A.,-70.828095,-33.534031
Planta de Tratamientos Residuos Líquidos Industriales National Starch and Chemicals,DIA,Aprobado,RM,Maipú,5 oct 1998,24 Feb. 1999,30 dic 2014,1565,$75.00,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",National Starch and Chemical S.A.,-70.723776,-33.512446
Remodelación Estación de Servicio Shell Av. Pajaritos Nº 2753,DIA,Aprobado,RM,Maipú,18 sep 1998,10 Mar. 1999,19 dic 2014,1570,$670.00,e,e-Estaciones de servicios,SHELL Chile S.A.C. e I.,-70.75724,-33.503715
San Juan de Maipú,DIA,Aprobado,RM,Maipú,19 oct 1998,13 ene 1999,26 dic 2014,1575,$14.800.000,h,h-Proyectos inmobiliarios,Viviendas Económicas Metropolitana S.A.,-70.766949,-33.542859
Línea de Alimentación (110 Kv)a S/E distribución Santa Marta,DIA,Aprobado,RM,Maipú,23 sep 1998,10 Feb. 1999,30 dic 2014,1581,$2.000.000,b,b-Líneas de transmisión eléctrica de alto voltaje,Enel Distribución Chile S.A.,-70.764861,-33.541476
Sistema de Colectores - Interceptores y Emisario de entrada a la Planta de Tratamiento de Aguas Servidas Santiago Sur,DIA,Aprobado,RM,Maipú-Padre Hurtado-San Bernardo,21 Feb. 1999,28 jul 1999,26 dic 2014,1697,$44.700.000,o,o-Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2500 habitantes,Aguas Andinas S.A.,-70.733496,-33.526031
Conjunto Habitacional en Maipu 708 viviendas del SERVIU,DIA,Aprobado,RM,Maipú,4 oct 1998,24 Feb. 1999,30 dic 2014,1732,$8.000.000,h,h-Proyectos inmobiliarios,Sociedad de Construcciones e Ingeniería Maya S.A.,-70.766153,-33.50696
